file_name,dice
case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0004.png,0.913
case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0014.png,0.8728
case_M_20181106093315_0U62372110682814_1_007_001-1_a1_ayy_image0024.png,0.8777
case_M_20181106093315_0U62372110682814_1_007_001-1_a2_ayy_image0002.png,0.8415
case_M_20181106093315_0U62372110682814_1_007_001-1_a2_ayy_image0012.png,0.912
case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0004.png,0.8896
case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0014.png,0.7527
case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0024.png,0.8463
case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0034.png,0.8238
case_M_20181106093315_0U62372110682814_1_007_001-1_a3_ayy_image0044.png,0.8836
case_M_20181106093315_0U62372110682814_1_007_001-1_a5_ayy_image0001.png,0.8507
case_M_20181106093315_0U62372110682814_1_007_001-1_a5_ayy_image0011.png,0.9069
case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0001.png,0.9126
case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0011.png,0.8924
case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0021.png,0.7085
case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0031.png,0.8648
case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0041.png,0.8599
case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0051.png,0.735
case_M_20181106093315_0U62372110682814_1_007_001-1_a6_ayy_image0061.png,0.7269
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0001.png,0.881
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0011.png,0.9039
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0021.png,0.8491
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0031.png,0.8626
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0041.png,0.7508
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0051.png,0.9582
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0061.png,0.9289
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0071.png,0.9705
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0081.png,0.8939
case_M_20181211093229_0U62367121175028_1_002_002-1_a7_ayy_image0091.png,0.9469
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0003.png,0.9491
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0013.png,0.9814
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0023.png,0.9732
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0033.png,0.9751
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0043.png,0.979
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0053.png,0.9835
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0063.png,0.9702
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0073.png,0.9682
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0083.png,0.9518
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0093.png,0.9687
case_M_20181211093229_0U62367121175028_1_002_002-1_a8_ayy_image0103.png,0.9799
case_M_20181211093229_0U62367121175028_1_002_002-1_a9_ayy_image0008.png,0.9191
case_M_20181211093229_0U62367121175028_1_002_002-1_a9_ayy_image0018.png,0.96
case_M_20181211093229_0U62367121175028_1_002_002-1_a9_ayy_image0028.png,0.5905
case_M_20181211093229_0U62367121175028_1_002_002-1_a9_ayy_image0038.png,0.9339
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0001.png,0.9046
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0011.png,0.8189
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0021.png,0.7731
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0031.png,0.9103
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0041.png,0.8425
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0051.png,0.9195
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0061.png,0.9272
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0071.png,0.7905
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0081.png,0.9375
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0091.png,0.9153
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0101.png,0.8351
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0111.png,0.874
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0121.png,0.8974
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0131.png,0.9199
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0141.png,0.9313
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0301.png,0.7221
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0311.png,0.7728
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0321.png,0.7784
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0331.png,0.7869
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0341.png,0.8625
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0351.png,0.8029
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0361.png,0.8139
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0371.png,0.8938
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0381.png,0.8675
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0391.png,0.8276
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0401.png,0.762
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0411.png,0.837
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0421.png,0.8109
case_M_20190112093830_0U62372011292129_1_001_001-1_a1_ayy_image0431.png,0.7515
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0007.png,0.6766
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0017.png,0.6434
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0027.png,0.6143
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0037.png,0.6812
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0047.png,0.5789
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0057.png,0.6849
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0067.png,0.6444
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0077.png,0.7013
case_M_20190112093830_0U62372011292129_1_001_001-1_a2_ayy_image0087.png,0.6063
case_M_20190112093830_0U62372011292129_1_001_001-1_a5_ayy_image0002.png,0.8542
case_M_20190112093830_0U62372011292129_1_001_001-1_a5_ayy_image0012.png,0.8952
case_M_20190112093830_0U62372011292129_1_001_001-1_a5_ayy_image0022.png,0.4135
case_M_20190112093830_0U62372011292129_1_001_001-1_a5_ayy_image0032.png,0.5984
case_M_20190112093830_0U62372011292129_1_001_001-1_a5_ayy_image0042.png,0.5522
case_M_20190112093830_0U62372011292129_1_001_001-1_a5_ayy_image0052.png,0.5665
case_M_20190112093830_0U62372011292129_1_001_001-1_a5_ayy_image0062.png,0.495
case_M_20190112093830_0U62372011292129_1_001_001-1_a5_ayy_image0072.png,0.5937
case_M_20190112093830_0U62372011292129_1_001_001-1_a6_ayy_image0008.png,0.4491
case_M_20190112093830_0U62372011292129_1_001_001-1_a6_ayy_image0018.png,0.5536
case_M_20190112093830_0U62372011292129_1_001_001-1_a6_ayy_image0028.png,0.5592
case_M_20190112093830_0U62372011292129_1_001_001-1_a6_ayy_image0038.png,0.5703
case_M_20190112093830_0U62372011292129_1_001_001-1_a6_ayy_image0048.png,0.5019
case_M_20190112093830_0U62372011292129_1_001_001-1_a6_ayy_image0058.png,0.5349
case_M_20190112093830_0U62372011292129_1_001_001-1_a6_ayy_image0068.png,0.4998
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0001.png,0.7118
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0011.png,0.3669
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0021.png,0.6857
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0031.png,0.6006
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0041.png,0.5448
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0051.png,0.5864
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0061.png,0.5762
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0071.png,0.6322
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0081.png,0.502
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0091.png,0.613
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0101.png,0.5827
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0111.png,0.5743
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0121.png,0.6034
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0131.png,0.5842
case_M_20190112093830_0U62372011292129_1_001_001-1_a7_ayy_image0141.png,0.4066
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0001.png,0.463
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0011.png,0.6053
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0021.png,0.6344
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0031.png,0.6191
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0041.png,0.3924
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0051.png,0.4365
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0061.png,0.6236
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0071.png,0.6929
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0081.png,0.8368
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0091.png,0.7308
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0101.png,0.4869
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0111.png,0.6785
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0121.png,0.436
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0131.png,0.6986
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0141.png,0.5461
case_M_20190112093830_0U62372011292129_1_001_001-1_a8_ayy_image0151.png,0.4588
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0001.png,0.7986
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0011.png,0.6792
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0021.png,0.7261
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0031.png,0.8874
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0041.png,0.8882
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0051.png,0.9162
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0061.png,0.9229
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0071.png,0.9208
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0081.png,0.9028
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0091.png,0.8753
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0101.png,0.866
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0111.png,0.887
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0121.png,0.9384
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0131.png,0.9093
case_M_20181010094822_0U62363101085921_1_003_001-1_a8_ayy_image0141.png,0.8956
case_M_20181017100226_0U62367101735926_1_007_001-1_a1_ayy_image0001.png,0.9389
case_M_20181017100226_0U62367101735926_1_007_001-1_a1_ayy_image0011.png,0.9416
case_M_20181017100226_0U62367101735926_1_007_001-1_a1_ayy_image0021.png,0.9271
case_M_20181017100226_0U62367101735926_1_007_001-1_a1_ayy_image0031.png,0.7917
case_M_20181017100226_0U62367101735926_1_007_001-1_a1_ayy_image0041.png,0.9542
case_M_20181017100226_0U62367101735926_1_007_001-1_a2_ayy_image0005.png,0.0021
case_M_20181017100226_0U62367101735926_1_007_001-1_a3_ayy_image0009.png,0.943
case_M_20181017100226_0U62367101735926_1_007_001-1_a3_ayy_image0019.png,0.9613
case_M_20181017100226_0U62367101735926_1_007_001-1_a3_ayy_image0029.png,0.9784
case_M_20181017100226_0U62367101735926_1_007_001-1_a3_ayy_image0039.png,0.9484
case_M_20181017100226_0U62367101735926_1_007_001-1_a3_ayy_image0049.png,0.9604
case_M_20181017100226_0U62367101735926_1_007_001-1_a3_ayy_image0059.png,0.9344
case_M_20181017100226_0U62367101735926_1_007_001-1_a4_ayy_image0010.png,0.817
case_M_20181017100226_0U62367101735926_1_007_001-1_a4_ayy_image0020.png,0.83
case_M_20181017100226_0U62367101735926_1_007_001-1_a4_ayy_image0030.png,0.9692
case_M_20181017100226_0U62367101735926_1_007_001-1_a4_ayy_image0040.png,0.9611
case_M_20181017100226_0U62367101735926_1_007_001-1_a4_ayy_image0050.png,0.9188
case_M_20181017100226_0U62367101735926_1_007_001-1_a4_ayy_image0060.png,0.8849
case_M_20181017100226_0U62367101735926_1_007_001-1_a4_ayy_image0070.png,0.0
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0301.png,0.9773
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0311.png,0.9687
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0321.png,0.9687
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0331.png,0.9745
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0341.png,0.9759
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0351.png,0.9709
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0361.png,0.9744
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0371.png,0.9636
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0381.png,0.9703
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0391.png,0.9694
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0401.png,0.9693
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0411.png,0.9795
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0421.png,0.9782
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0431.png,0.9729
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0441.png,0.9659
case_M_20181017100226_0U62367101735926_1_007_004-1_a4_ayy_image0451.png,0.9517
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0001.png,0.918
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0011.png,0.9363
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0021.png,0.938
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0031.png,0.9608
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0041.png,0.9388
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0051.png,0.952
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0061.png,0.9529
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0071.png,0.9481
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0081.png,0.9545
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0091.png,0.9497
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0101.png,0.9711
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0111.png,0.9294
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0121.png,0.9416
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0131.png,0.9185
case_M_20181017100226_0U62367101735926_1_007_004-1_a6_ayy_image0141.png,0.9367
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0001.png,0.9603
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0011.png,0.9418
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0021.png,0.9689
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0031.png,0.9632
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0041.png,0.9586
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0051.png,0.9546
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0062.png,0.7769
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0072.png,0.9629
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0082.png,0.9336
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0092.png,0.9398
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0102.png,0.9612
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0112.png,0.9657
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0122.png,0.4801
case_M_20181017100226_0U62367101735926_1_007_001-1_a15_ayy_image0132.png,0.9675
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0302.png,0.9847
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0312.png,0.9773
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0322.png,0.9823
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0332.png,0.9849
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0342.png,0.9819
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0352.png,0.9828
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0362.png,0.9862
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0372.png,0.9821
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0382.png,0.985
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0392.png,0.9725
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0402.png,0.9814
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0412.png,0.9753
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0422.png,0.9285
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0432.png,0.9848
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0442.png,0.9815
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0602.png,0.9762
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0612.png,0.9142
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0622.png,0.98
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0632.png,0.9785
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0642.png,0.9715
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0652.png,0.9802
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0662.png,0.9807
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0672.png,0.978
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0682.png,0.9778
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0692.png,0.9752
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0702.png,0.9846
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0712.png,0.9814
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0722.png,0.9725
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0732.png,0.9853
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0742.png,0.977
case_M_20181003094031_0U62363100354631_1_001_002-1_a1_ayy_image0752.png,0.9832
case_M_20181003094031_0U62363100354631_1_001_002-1_a2_ayy_image0005.png,0.9738
case_M_20181003094031_0U62363100354631_1_001_002-1_a2_ayy_image0015.png,0.9595
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0151.png,0.987
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0161.png,0.9911
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0171.png,0.9883
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0181.png,0.9859
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0191.png,0.9887
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0201.png,0.9885
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0211.png,0.99
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0221.png,0.9902
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0231.png,0.9793
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0241.png,0.9854
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0251.png,0.9846
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0261.png,0.9784
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0271.png,0.9866
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0281.png,0.9817
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0291.png,0.9694
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0301.png,0.9681
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0311.png,0.9733
case_M_20181003094031_0U62363100354631_1_001_002-1_a13_ayy_image0321.png,0.9787
